hostname,pl_name,st_teff,st_mass,st_rad,st_lum,st_met,st_age,st_spectype,ra,dec,sy_dist,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_orbper,pl_bmasse,pl_rade,pl_dens,pl_eqt
"HD 38529","HD 38529 b",5697.00,0.980000,2.857838,0.83420,0.5100,4.5000,"G4 IV",86.6451363,1.1675866,42.35380000,0.1150000000,0.256000,,14.30990000000,206.58846455,14.10000000,0.405000,
"HD 99492","HD 99492 b",4929.00,0.850000,0.822539,-0.47490,0.3000,4.8000,"K2 V",171.6896870,3.0071331,18.20380000,0.1200000000,0.034000,,17.05030000000,25.50000000,5.44000000,0.870000,
"HD 99706","HD 99706 b",4862.00,1.460000,5.520000,1.18752,0.1400,2.1000,"K0",172.1261621,43.9662025,146.60000000,1.9800000000,0.250000,,841.00000000000,390.93090000,13.70000000,0.835000,
"HIP 14810","HIP 14810 d",5544.00,1.010000,1.070000,-0.01000,0.2400,5.8400,"G5",47.8092750,21.0971302,50.48000000,1.9400000000,0.185000,,981.80000000000,187.51970000,14.10000000,0.368000,
"Kepler-746","Kepler-746 b",5418.00,0.910000,0.930000,-0.17200,0.0900,8.7100,,290.6822097,37.3551593,450.00000000,0.0435000000,0.000000,89.71000,3.48159251000,1.41000000,1.11000000,5.670000,1156.00
"55 Cnc","55 Cnc f",5198.00,1.015000,0.980000,-0.19695,0.3900,10.0000,"G8 V",133.1468373,28.3298154,12.58550000,0.8020000000,0.063000,89.73000,260.58000000000,44.81200000,7.59000000,0.563000,
"K2-384","K2-384 d",3623.00,0.330000,0.348000,-1.86986,0.0680,,"M4 V",20.4998403,0.7509701,82.66030000,,,,6.67958200000,2.52000000,1.39200000,5.130000,
"HD 40307","HD 40307 b",4956.00,0.770000,0.716684,-0.63900,-0.3100,4.5000,"K2.5 V",88.5172191,-60.0237289,12.93630000,0.0468000000,0.200000,0.20220,4.31230000000,1188.99607059,,,910.00
"HATS-1","HATS-1 b",5870.00,0.986000,1.038000,0.04139,-0.0600,6.0000,,175.5252399,-23.3548451,283.97100000,0.0444000000,0.120000,85.60000,3.44645900000,589.55000000,14.59400000,1.030000,1359.00
"HD 40979","HD 40979 b",6165.00,1.450000,1.210000,0.29056,0.2000,3.5600,"F8 V",91.1253346,44.2597855,34.08830000,0.8500000000,0.250000,,264.14999000000,1484.26610000,12.90000000,3.800000,
"xi Aql","xi Aql b",4841.00,1.740000,10.860000,1.76745,-0.1100,7.1000,"K0 III",298.5624491,8.4611051,56.18580000,0.6250000000,0.059000,,136.97000000000,616.90493799,13.40000000,1.410000,
"OGLE-TR-132","OGLE-TR-132 b",6210.00,1.305000,1.320000,0.37100,0.3700,1.2000,"F5 V",162.6440933,-61.9572476,2012.62000000,0.0303500000,0.600000,83.40000,1.68986800000,375.02000000,13.45000000,0.850000,2013.00
"K2-385","K2-385 b",4844.00,0.927000,0.761000,-0.51852,-0.2240,,,12.6140752,5.8712567,420.81900000,,,,2.38086700000,2.98000000,1.53900000,4.490000,
"HD 23079","HD 23079 b",5994.00,1.160000,1.080000,0.13033,-0.1290,2.6000,"F9.5 V",54.9281897,-52.9162344,33.45910000,1.6000000000,0.073480,,735.74000000000,845.42356262,13.20000000,2.020000,
"HD 4203","HD 4203 b",5596.00,1.250000,1.420000,0.29285,0.4000,8.5200,"G5",11.1722288,20.4483925,81.37950000,1.1700000000,0.520000,,431.88000000000,708.76090000,13.30000000,1.660000,
"HD 43691","HD 43691 b",6093.00,1.320000,1.600000,0.50000,0.3300,2.3900,"G0",94.8946124,41.0920773,85.60090000,0.2380000000,0.079600,,36.99870000000,810.46650000,13.20000000,1.940000,
"HD 41004 B","HD 41004 B b",5036.00,0.400000,1.041370,-0.20175,,,"M2 V",89.9565956,-48.2394114,41.55040000,,0.081000,,1.32830000000,5838.29000000,12.10000000,18.100000,
"tau Boo","tau Boo b",6466.27,1.320000,1.425880,0.50548,0.2642,2.0000,"F7 V",206.8134593,17.4571647,15.65210000,0.0490000000,0.011000,44.50000,3.31245680000,1891.00000000,12.80000000,4.950000,
"K2-386","K2-386 b",5749.00,0.911000,0.970000,-0.01919,0.0740,,,18.2999964,7.0130302,428.78500000,,,,7.47322300000,5.99000000,2.32000000,2.640000,
"HD 231701","HD 231701 b",6101.00,1.210000,1.530000,0.47000,0.0500,3.4300,"F8 V",293.0176220,16.4743566,108.87700000,0.5670000000,0.130000,,141.63000000000,359.14790000,13.70000000,0.768000,
"HD 204313","HD 204313 b",5767.00,1.030000,1.100000,0.09981,0.1800,3.3800,"G5 V",322.0510568,-21.7274194,47.79450000,3.1850000000,0.100000,72.91700,2041.11539000000,1466.77809830,12.90000000,3.750000,
"Kepler-1738","Kepler-1738 b",6063.00,1.079000,1.001000,-0.00542,-0.0200,0.3000,,296.1313474,47.4388098,1302.87000000,0.0781000000,0.000000,85.69000,7.67463016500,8.37000000,2.82472883,2.040000,957.00
"HD 5319","HD 5319 b",4871.00,1.270000,4.060000,0.90800,0.1500,3.1000,"G5",13.7558096,0.7893425,121.40500000,1.5700000000,0.092000,,637.10000000000,494.54348000,13.50000000,1.100000,
"Pr0201","Pr0201 b",6174.00,1.240000,1.150000,0.24469,0.1900,,,130.4324005,20.2268164,180.64000000,0.0600000000,0.000000,,4.42640000000,171.62820000,14.20000000,0.329000,
"K2-368","K2-368 d",4663.00,0.746000,0.663000,-0.69293,-0.2500,,,332.6357627,-11.1661157,206.60800000,,,,20.20108500000,4.45000000,1.94800000,3.310000,
"Pr0211","Pr0211 b",5300.00,0.935000,0.827000,-0.33603,0.1800,0.5780,,130.5477440,19.2769570,182.71400000,0.0317600000,0.011000,,2.14610000000,597.52040000,13.40000000,1.360000,
"bet Cnc","bet Cnc b",4092.10,1.700000,47.200000,2.90000,-0.2900,1.8500,"K4 III",124.1286379,9.1853306,89.04720000,1.7000000000,0.080000,,605.20000000000,2479.00000000,12.60000000,6.810000,
"bet UMi","bet UMi b",4126.00,1.400000,38.300000,2.73000,-0.2700,2.9500,"K4 III",222.6764950,74.1555480,38.77472000,1.4000000000,0.190000,,522.30000000000,1938.70000000,12.70000000,5.200000,
"Kepler-754","Kepler-754 b",5935.00,1.060000,1.080000,0.41554,0.0500,3.8000,,293.2541121,37.8461519,1770.27000000,0.1160000000,0.000000,89.93000,14.55962370000,4.70000000,2.01000000,3.180000,758.00
"HD 207832","HD 207832 c",5710.00,0.940000,0.901000,-0.11200,0.0600,1.3600,"G5 V",328.1517893,-26.0271749,58.92910000,2.1120000000,0.270000,,1155.70000000000,232.01590000,14.00000000,0.465000,
